silo,original,new_basename,orig_dimensions,web_dimensions,orig_KB,webp_KB,jpg_KB,public_path
actor-headshots,083A0187_pp.JPG,actor-headshots-sydney-01,3360x5040,1333x2000,440,118,255,/images/actor-headshots/actor-headshots-sydney-01.webp
actor-headshots,083A0277.jpg,actor-headshots-sydney-02,3299x4953,1332x2000,450,144,301,/images/actor-headshots/actor-headshots-sydney-02.webp
actor-headshots,083A0387.jpg,actor-headshots-sydney-03,3360x4200,1600x2000,198,72,186,/images/actor-headshots/actor-headshots-sydney-03.webp
actor-headshots,083A0872.jpg,actor-headshots-sydney-04,3360x3360,2000x2000,3395,95,268,/images/actor-headshots/actor-headshots-sydney-04.webp
actor-headshots,083A8276.jpg,actor-headshots-sydney-05,5717x3417,2000x1195,612,168,321,/images/actor-headshots/actor-headshots-sydney-05.webp
actor-headshots,reflect.jpg,actor-headshots-sydney-06,1000x1357,1000x1357,75,73,97,/images/actor-headshots/actor-headshots-sydney-06.webp
corporate-headshots,083A3769.jpg,corporate-headshot-sydney-01,2000x3000,1333x2000,793,188,335,/images/corporate-headshots/corporate-headshot-sydney-01.webp
corporate-headshots,083A9984.jpg,corporate-headshot-sydney-02,3482x3482,2000x2000,714,236,483,/images/corporate-headshots/corporate-headshot-sydney-02.webp
corporate-headshots,6S4A2900.jpg,corporate-headshot-sydney-03,7974x5319,2000x1334,951,125,220,/images/corporate-headshots/corporate-headshot-sydney-03.webp
corporate-headshots,Business portrait.jpg,corporate-headshot-sydney-04,1200x1799,1200x1799,732,50,101,/images/corporate-headshots/corporate-headshot-sydney-04.webp
corporate-headshots,Corporate head shots (1).jpg,corporate-headshot-sydney-05,5282x5282,2000x2000,1892,127,303,/images/corporate-headshots/corporate-headshot-sydney-05.webp
corporate-headshots,Corporate head shots (2).jpg,corporate-headshot-sydney-06,5000x3750,2000x1500,7842,132,299,/images/corporate-headshots/corporate-headshot-sydney-06.webp
corporate-headshots,IMGS9774.jpg,corporate-headshot-sydney-07,2862x1908,2000x1333,579,55,131,/images/corporate-headshots/corporate-headshot-sydney-07.webp
corporate-headshots,IMGS9806.jpg,corporate-headshot-sydney-08,7200x4800,2000x1333,966,86,174,/images/corporate-headshots/corporate-headshot-sydney-08.webp
corporate-headshots,IMGS9830.jpg,corporate-headshot-sydney-09,7200x4801,2000x1334,997,102,172,/images/corporate-headshots/corporate-headshot-sydney-09.webp
corporate-headshots,IMGS9835.jpg,corporate-headshot-sydney-10,7200x4800,2000x1333,997,93,175,/images/corporate-headshots/corporate-headshot-sydney-10.webp
corporate-headshots,IMGS9839.jpg,corporate-headshot-sydney-11,7200x4800,2000x1333,949,85,160,/images/corporate-headshots/corporate-headshot-sydney-11.webp
